START:0
2010	0	9962	3364	3180	3133	-183	-230
2020	0	9995	3263	2572	2993	-691	-270
2030	0	10027	3108	2946	2806	-161	-301
2040	0	10057	2960	2619	2198	-341	-762
2050	0	10086	2859	2244	2291	-614	-567
2060	0	10114	2688	2057	2338	-630	-350
2070	0	10139	2579	2104	1730	-475	-849
2080	0	10163	2400	1870	1777	-530	-623
2090	0	10186	2253	1356	1730	-897	-522
2100	0	10207	2082	1543	1309	-538	-772
2110	0	10227	1942	1216	1169	-726	-773
2120	0	10245	1779	982	1169	-797	-610
2130	0	10261	1623	888	795	-735	-828
2140	0	10276	1460	748	608	-712	-852
2150	0	10289	1313	420	467	-892	-845
2160	0	10301	1173	467	327	-705	-845
2170	0	10312	971	420	187	-550	-784
2180	0	10320	823	187	46	-636	-776
2190	0	10328	714	-93	0	-808	-714
2200	0	10334	582	-140	0	-722	-582
2210	0	10339	481	-233	93	-715	-388
2220	0	10343	341	46	0	-295	-341
2230	0	10345	209	46	0	-163	-209
2240	0	10347	85	0	0	-85	-85
2250	0	10347	23	0	0	-23	-23
STOP:1670	BREAK1:0	BREAK2:2252
laserpoint1=:1	laserpoint2=:0	laserpoint3=:0
